"exposure","outcome","beta","se","t_value","p_value","n","df","p_fdr","sig_fdr05","sig_fdr01","sig_bonf"
"log_URXUSB","avg_SBP",-1.02025163016049,0.810803108598562,-1.25832229716528,0.255023604767886,1561,6,0.590629237096859,FALSE,FALSE,FALSE
"log_URXUSN","avg_SBP",-0.0736059779900214,0.523706320655422,-0.140548194831605,0.892826605626786,1561,6,0.965761736790664,FALSE,FALSE,FALSE
"log_URXUTL","avg_SBP",1.24109001298761,1.60169326964791,0.774861227493596,0.467849393176417,1561,6,0.741726888877383,FALSE,FALSE,FALSE
"log_URXUTU","avg_SBP",0.569157781080414,0.642573315759666,0.885747613729558,0.409845124395429,1561,6,0.703334848549266,FALSE,FALSE,FALSE
"log_URX2MH","avg_SBP",-0.64462818648738,0.700519070179938,-0.920215043284687,0.392954278422258,1522,6,0.69612855513837,FALSE,FALSE,FALSE
"log_URX34M","avg_SBP",-0.0208262070492372,0.623725002873826,-0.0333900468207624,0.974446609033285,1522,6,0.992402758809994,FALSE,FALSE,FALSE
"log_URXAAM","avg_SBP",-0.119665800791084,0.786325413601194,-0.152183560039147,0.884030603747152,1522,6,0.962693188869175,FALSE,FALSE,FALSE
"log_URXAMC","avg_SBP",0.227166834509049,1.0138712849066,0.224058850359861,0.83014616474118,1522,6,0.941453417780901,FALSE,FALSE,FALSE
"log_URXATC","avg_SBP",0.100830064754411,0.759333807756801,0.132787535237341,0.898702831984578,1522,6,0.966053726078097,FALSE,FALSE,FALSE
"log_URXBMA","avg_SBP",0.574330509752353,0.522675981711761,1.09882705509334,0.313968463819544,1522,6,0.640233422383866,FALSE,FALSE,FALSE
"log_URXBPM","avg_SBP",0.246511066818173,0.478302782668955,0.515387063906733,0.624714157603788,1522,6,0.847070044208525,FALSE,FALSE,FALSE
"log_URXCEM","avg_SBP",0.393262599048435,0.757631075559029,0.519068728481418,0.622295007120675,1522,6,0.846500730919285,FALSE,FALSE,FALSE
"log_URXCYHA","avg_SBP",-1.02843277849381,0.72028963132004,-1.42780450220983,0.203262156484098,1522,6,0.532271431295788,FALSE,FALSE,FALSE
"log_URXCYM","avg_SBP",-0.661039394823236,0.433025703947221,-1.52655925225124,0.177723161610755,1522,6,0.501806573959778,FALSE,FALSE,FALSE
"log_URXDHB","avg_SBP",2.58378429524198,1.63459705758909,1.5806857618188,0.16503284443677,1522,6,0.488668852080049,FALSE,FALSE,FALSE
"log_URXGAM","avg_SBP",-2.03716878918038,1.15981315406983,-1.75646291131625,0.129527476892848,1522,6,0.439386494053479,FALSE,FALSE,FALSE
"log_URXHEM","avg_SBP",-0.0845294604429798,0.775051836100165,-0.109062976830437,0.916708620704973,1522,6,0.971883242271424,FALSE,FALSE,FALSE
"log_URXHP2","avg_SBP",0.748695569184428,0.813802943670705,0.919996142809946,0.393059848452648,1522,6,0.69612855513837,FALSE,FALSE,FALSE
"log_URXHPM","avg_SBP",0.114477785175543,0.730989621460793,0.15660658074293,0.880691598155102,1522,6,0.962674162658393,FALSE,FALSE,FALSE
"log_URXIPM3","avg_SBP",0.342397700605478,0.425704430150109,0.804308521019488,0.451901465054882,1522,6,0.729118330172583,FALSE,FALSE,FALSE
"log_URXMAD","avg_SBP",2.74193297304624,0.974257448176337,2.81438235671559,0.0305793001440012,1522,6,0.282606183171537,FALSE,FALSE,FALSE
"log_URXMB3","avg_SBP",-0.381916700544635,0.795473152095421,-0.480112621700175,0.6481491604095,1522,6,0.858456565123897,FALSE,FALSE,FALSE
"log_URXPHE","avg_SBP",0.580246785353202,1.00391349182897,0.577984846379624,0.584298407844898,1522,6,0.826715507046576,FALSE,FALSE,FALSE
"log_URXPHG","avg_SBP",1.88670471998395,1.1293350178862,1.67063332855412,0.145829939629108,1522,6,0.462799147252706,FALSE,FALSE,FALSE
"log_URXPMM","avg_SBP",0.895081398765462,1.03239733539148,0.866993131502083,0.419262792811784,1522,6,0.707434703842441,FALSE,FALSE,FALSE
"log_URXTTC","avg_SBP",-0.0705508459556286,0.63121038255649,-0.111770731130702,0.914650602506036,1522,6,0.971883242271424,FALSE,FALSE,FALSE
"log_URX24D","avg_SBP",-0.769912737857705,0.691754508444632,-1.11298550057709,0.308306660911556,1524,6,0.636504074139986,FALSE,FALSE,FALSE
"log_URXCPM","avg_SBP",1.78690374348372,0.762630765026046,2.3430784928047,0.057600929560139,1525,6,0.351365428225118,FALSE,FALSE,FALSE
"log_URX4FP","avg_SBP",0.255495660879569,1.02893838228258,0.248309971985671,0.812174865051711,1525,6,0.93152672694103,FALSE,FALSE,FALSE
"log_URXOPM","avg_SBP",-0.00903290910200159,0.567395562636252,-0.0159199502019942,0.987814427160098,1523,6,0.997001912758468,FALSE,FALSE,FALSE
