"exposure","outcome","beta","se","t_value","p_value","n","df","weight","p_fdr","sig_fdr05","sig_fdr01"
"log_URXUIO","LBXGH",-0.00397653194152273,0.0353292853501667,-0.112556251905729,0.913542181154005,1600,7,"WTSA2YR",0.969244261136344,FALSE,FALSE
"log_LBXVBZ","LBXSPH",0.00298360996507431,0.0277753938630272,0.107419177556502,0.917470410384359,2319,7,"WTMEC2YR",0.969244261136344,FALSE,FALSE
"log_URXUDMA","LBXHGB",0.00476929262690075,0.0476825597118644,0.100021740773159,0.92313141491846,1603,7,"WTSA2YR",0.969244261136344,FALSE,FALSE
"log_LBXVBZ","BMXWAIST",0.0565399560171979,0.677779197890059,0.0834194324541207,0.935567633065395,2242,8,"WTMEC2YR",0.969244261136344,FALSE,FALSE
"log_SSGLYP","LBXSC3SI",0.00753639103274727,0.0954816596751963,0.0789302475300923,0.93929708223195,1371,7,"WTSSBJ2Y",0.969244261136344,FALSE,FALSE
"log_URXUIO","LBXSKSI",0.00119776625962038,0.0171396364162059,0.0698828277645297,0.94624141852774,1589,7,"WTSA2YR",0.969244261136344,FALSE,FALSE
"log_LBXBGM","LBXSASSI",-0.0205791784994157,0.315624767708084,-0.0652014056084758,0.949836648520103,4821,7,"WTMEC2YR",0.969244261136344,FALSE,FALSE
"log_URXUIO","LBXSASSI",-0.0206635531318324,0.330785510640381,-0.0624681325727629,0.951936327901767,1584,7,"WTSA2YR",0.969244261136344,FALSE,FALSE
"log_URXUP8","LBXGH",0.000817489073434373,0.0278437205283585,0.0293599080123567,0.977397083961492,1589,7,"WTSA2YR",0.988712263433715,FALSE,FALSE
"log_URXUP8","LBXSTB",0.000278251588765828,0.01247478920779,0.0223051134677347,0.982827071389467,1579,7,"WTSA2YR",0.988712263433715,FALSE,FALSE
"log_LBXBGM","LBXSC3SI",-0.000757287006869715,0.0598933098016684,-0.0126439331768007,0.990264684095454,4833,7,"WTMEC2YR",0.990264684095454,FALSE,FALSE
